Accident_Date,Airline,Severity,Fatalities,Survivors,Aircraft_Type,Accident_Cause,Location,Weather_Condition,Altitude_ft,Speed_knots,Pilot_Experience_Years,Time_of_Accident,Majority_Survivor_Location,Plane_Damage
18/06/2020,United,Minor,9,70,Airbus A320,Fuel exhaustion,"Dubai, UAE",Rain,19654,498,2,Night,Back,Full Plane
11/05/2012,United,Minor,2,173,Airbus A350,Lightning strike,"Mumbai, India",Windy,22511,302,1,Daylight,Back,Partial - High Monetary Damage
16/03/2024,Emirates,Minor,4,241,Airbus A380,Pilot error,"Beijing, China",Clear,1517,571,30,Daylight,Front,Full Plane
13/05/2017,United,Severe,164,188,Airbus A320,Runway excursion,"Tokyo, Japan",Rain,12123,249,8,Night,Front,Full Plane
11/08/2025,Lufthansa,Severe,117,47,Boeing 777,Severe turbulence,"Dubai, UAE",Snow,36852,339,14,Night,Back,Partial - High Monetary Damage
02/11/2018,Qatar Airways,Minor,3,12,Airbus A380,Fuel exhaustion,"New York, USA",Windy,6174,564,9,Night,Back,Partial - High Monetary Damage
03/02/2011,Delta,Minor,10,17,Boeing 747,Bird strike,"Sydney, Australia",Snow,20424,347,1,Night,Back,Partial - High Monetary Damage
10/12/2014,Lufthansa,Minor,10,9,Airbus A350,Landing gear malfunction,"Beijing, China",Clear,13744,123,19,Daylight,Front,Full Plane
27/09/2014,United,Severe,137,110,Airbus A350,Lightning strike,"Beijing, China",Fog,22506,474,18,Night,Back,Partial - High Monetary Damage
06/09/2021,British Airways,Minor,0,197,Boeing 737,Bird strike,"London, UK",Windy,14875,393,33,Daylight,Front,Partial - High Monetary Damage
07/03/2025,Delta,Severe,160,210,Embraer 190,Fuel exhaustion,"London, UK",Thunderstorm,4242,105,17,Night,Front,Full Plane
23/11/2020,Delta,Severe,204,275,Boeing 777,Fuel exhaustion,"London, UK",Clear,9127,315,23,Night,Front,Partial - High Monetary Damage
18/02/2022,Delta,Severe,219,178,Embraer 190,Lightning strike,"Tokyo, Japan",Fog,30408,438,27,Night,Front,Full Plane
23/08/2021,American Airlines,Minor,7,241,Airbus A320,Landing gear malfunction,"Toronto, Canada",Windy,39100,440,30,Daylight,Back,Partial - High Monetary Damage
05/03/2025,Singapore Airlines,Severe,188,159,Bombardier CRJ900,Landing gear malfunction,"Paris, France",Snow,17355,347,31,Night,Front,Full Plane
29/11/2017,Emirates,Minor,2,122,Bombardier CRJ900,Pilot error,"São Paulo, Brazil",Rain,15239,322,5,Night,Back,Partial - High Monetary Damage
07/04/2013,Emirates,Minor,0,299,Embraer 190,Structural failure,"São Paulo, Brazil",Rain,14666,155,24,Daylight,Front,Full Plane
07/07/2021,British Airways,Severe,197,243,Boeing 777,Bird strike,"London, UK",Fog,32209,597,18,Daylight,Front,Full Plane
14/03/2018,Singapore Airlines,Minor,9,121,Airbus A380,Severe turbulence,"São Paulo, Brazil",Windy,21666,378,8,Daylight,Back,Full Plane
01/06/2024,Delta,Severe,238,280,Boeing 747,Mid-air collision,"Dubai, UAE",Clear,12326,221,30,Night,Front,Full Plane
31/07/2022,Delta,Severe,103,138,Boeing 747,Engine failure during takeoff,"Toronto, Canada",Fog,5155,497,25,Daylight,Front,Partial - Low Monetary Damage
16/10/2023,Qatar Airways,Severe,178,230,Boeing 737,Structural failure,"Paris, France",Clear,6590,338,25,Night,Front,Partial - High Monetary Damage
27/06/2021,Turkish Airlines,Severe,172,46,Airbus A320,Pilot error,"New York, USA",Rain,7318,293,1,Night,Front,Full Plane
23/11/2018,United,Severe,84,279,Airbus A380,Bird strike,"Sydney, Australia",Snow,9321,173,19,Night,Back,Partial - Low Monetary Damage
30/06/2021,Delta,Minor,1,137,Boeing 747,Mid-air collision,"Paris, France",Snow,15663,479,21,Daylight,Front,Partial - High Monetary Damage
15/08/2024,British Airways,Minor,1,187,Boeing 737,Fuel exhaustion,"Beijing, China",Fog,23107,409,27,Daylight,Back,Partial - High Monetary Damage
09/05/2012,Qatar Airways,Minor,2,257,Bombardier CRJ900,Sabotage,"Paris, France",Rain,37755,291,36,Daylight,Front,Partial - High Monetary Damage
01/04/2022,Lufthansa,Minor,0,38,Airbus A380,Lightning strike,"Mumbai, India",Snow,1913,101,38,Daylight,Front,Full Plane
17/10/2015,Lufthansa,Minor,3,198,Airbus A350,Severe turbulence,"Tokyo, Japan",Rain,18007,347,15,Daylight,Front,Full Plane
08/04/2015,Qatar Airways,Minor,8,116,Boeing 747,Pilot error,"Beijing, China",Snow,10935,315,37,Night,Front,Partial - High Monetary Damage
27/11/2022,American Airlines,Minor,2,24,Airbus A380,Bird strike,"São Paulo, Brazil",Clear,26286,434,6,Night,Back,Full Plane
26/06/2020,United,Severe,235,90,Bombardier CRJ900,Landing gear malfunction,"São Paulo, Brazil",Thunderstorm,23459,347,7,Daylight,Front,Partial - Low Monetary Damage
18/11/2018,United,Minor,9,54,Boeing 777,Severe turbulence,"Dubai, UAE",Fog,12101,452,26,Night,Front,Partial - High Monetary Damage
17/08/2025,Singapore Airlines,Severe,207,89,Embraer 190,Pilot error,"London, UK",Rain,30193,529,20,Night,Back,Full Plane
12/06/2015,United,Minor,8,39,Boeing 737,Engine failure during takeoff,"São Paulo, Brazil",Fog,17314,133,24,Daylight,Front,Full Plane
24/02/2011,Emirates,Minor,3,274,Airbus A380,Controlled flight into terrain,"São Paulo, Brazil",Clear,9764,425,29,Night,Front,Partial - Low Monetary Damage
18/12/2025,Emirates,Minor,9,81,Airbus A380,Pilot error,"Beijing, China",Fog,36133,313,26,Daylight,Back,Partial - Low Monetary Damage
01/10/2022,Air India,Minor,9,98,Airbus A350,Controlled flight into terrain,"Tokyo, Japan",Clear,28451,194,32,Daylight,Back,Partial - High Monetary Damage
12/03/2010,Air India,Minor,0,208,Airbus A320,Runway excursion,"Sydney, Australia",Snow,24923,590,29,Night,Back,Full Plane
20/06/2024,American Airlines,Minor,1,99,Boeing 737,Lightning strike,"São Paulo, Brazil",Windy,12004,148,26,Night,Back,Partial - Low Monetary Damage
03/02/2010,American Airlines,Minor,5,242,Airbus A320,Mid-air collision,"New York, USA",Thunderstorm,22540,355,24,Daylight,Back,Full Plane
19/07/2020,Singapore Airlines,Minor,0,68,Airbus A350,Mid-air collision,"Sydney, Australia",Windy,7275,175,31,Night,Front,Full Plane
28/04/2015,Qatar Airways,Minor,10,169,Bombardier CRJ900,Bird strike,"Sydney, Australia",Thunderstorm,3349,121,28,Daylight,Front,Full Plane
18/02/2021,Singapore Airlines,Minor,10,57,Boeing 737,Landing gear malfunction,"Beijing, China",Thunderstorm,34312,244,25,Night,Back,Full Plane
05/03/2023,American Airlines,Minor,5,47,Boeing 737,Severe turbulence,"New York, USA",Rain,23820,379,26,Night,Front,Partial - High Monetary Damage
20/05/2016,United,Severe,209,71,Airbus A350,Pilot error,"Mumbai, India",Snow,32499,368,17,Night,Back,Partial - High Monetary Damage
21/10/2023,Singapore Airlines,Minor,5,266,Airbus A320,Fuel exhaustion,"London, UK",Thunderstorm,14643,532,31,Daylight,Front,Partial - High Monetary Damage
23/01/2023,United,Minor,4,16,Boeing 747,Pilot error,"London, UK",Thunderstorm,34637,364,26,Night,Back,Full Plane
21/09/2023,Turkish Airlines,Severe,175,105,Boeing 747,Mid-air collision,"New York, USA",Rain,12611,302,3,Daylight,Front,Full Plane
28/08/2024,Turkish Airlines,Minor,6,44,Boeing 777,Sabotage,"Dubai, UAE",Snow,36307,387,36,Night,Back,Partial - High Monetary Damage
31/08/2016,American Airlines,Minor,1,26,Boeing 737,Engine failure during takeoff,"London, UK",Rain,22943,125,23,Daylight,Back,Partial - Low Monetary Damage
16/03/2016,Turkish Airlines,Severe,161,78,Bombardier CRJ900,Structural failure,"Dubai, UAE",Clear,22843,436,9,Night,Front,Full Plane
05/01/2017,British Airways,Severe,193,194,Boeing 747,Lightning strike,"Mumbai, India",Windy,19172,253,1,Night,Front,Partial - Low Monetary Damage
17/05/2020,Singapore Airlines,Minor,0,78,Boeing 777,Landing gear malfunction,"Beijing, China",Rain,22427,152,33,Night,Front,Partial - High Monetary Damage
05/05/2025,Singapore Airlines,Minor,10,119,Embraer 190,Mid-air collision,"Paris, France",Clear,5259,356,22,Night,Front,Partial - High Monetary Damage
30/05/2024,Qatar Airways,Minor,6,225,Embraer 190,Controlled flight into terrain,"Beijing, China",Snow,17009,299,9,Night,Back,Full Plane
16/10/2024,Air India,Minor,8,12,Embraer 190,Structural failure,"London, UK",Thunderstorm,28271,516,38,Night,Back,Full Plane
01/09/2015,American Airlines,Minor,0,185,Boeing 747,Mid-air collision,"Dubai, UAE",Windy,2685,394,28,Night,Front,Partial - Low Monetary Damage
12/12/2016,Singapore Airlines,Minor,3,18,Bombardier CRJ900,Severe turbulence,"Paris, France",Rain,39559,213,20,Daylight,Front,Partial - Low Monetary Damage
20/03/2016,Lufthansa,Minor,0,196,Airbus A320,Controlled flight into terrain,"New York, USA",Windy,5296,122,22,Night,Back,Partial - Low Monetary Damage
22/06/2012,Delta,Minor,4,232,Boeing 747,Engine failure during takeoff,"London, UK",Snow,38312,215,21,Daylight,Front,Partial - Low Monetary Damage
21/12/2010,American Airlines,Minor,0,150,Boeing 777,Engine failure during takeoff,"Sydney, Australia",Windy,15214,553,12,Daylight,Front,Full Plane
19/02/2020,Qatar Airways,Minor,0,285,Airbus A350,Runway excursion,"New York, USA",Fog,21245,523,5,Night,Front,Partial - High Monetary Damage
15/01/2019,Air India,Minor,5,89,Embraer 190,Controlled flight into terrain,"Beijing, China",Fog,6145,443,32,Daylight,Back,Full Plane
16/01/2023,British Airways,Minor,10,179,Airbus A380,Controlled flight into terrain,"Tokyo, Japan",Clear,5137,182,24,Daylight,Back,Full Plane
27/10/2013,Qatar Airways,Minor,4,81,Boeing 777,Sabotage,"São Paulo, Brazil",Snow,31236,298,4,Night,Front,Partial - Low Monetary Damage
23/07/2019,United,Minor,6,78,Airbus A350,Severe turbulence,"Sydney, Australia",Snow,19951,532,19,Daylight,Front,Partial - High Monetary Damage
14/01/2013,Qatar Airways,Minor,8,294,Airbus A320,Structural failure,"New York, USA",Windy,22545,252,37,Night,Back,Full Plane
25/08/2018,Emirates,Minor,0,81,Boeing 747,Runway excursion,"Paris, France",Fog,23427,435,40,Night,Back,Partial - Low Monetary Damage
11/05/2024,Emirates,Minor,1,166,Boeing 737,Fuel exhaustion,"Toronto, Canada",Snow,20490,268,35,Night,Front,Full Plane
13/09/2017,Singapore Airlines,Minor,3,144,Boeing 747,Bird strike,"Dubai, UAE",Rain,14412,507,34,Daylight,Back,Full Plane
22/05/2016,United,Minor,1,201,Airbus A380,Bird strike,"London, UK",Windy,29737,305,32,Night,Back,Partial - High Monetary Damage
03/09/2024,Air India,Minor,4,172,Boeing 777,Severe turbulence,"São Paulo, Brazil",Snow,2048,231,34,Daylight,Back,Full Plane
18/03/2015,Qatar Airways,Minor,3,142,Airbus A380,Severe turbulence,"Sydney, Australia",Thunderstorm,27386,414,9,Night,Back,Full Plane
04/09/2016,American Airlines,Severe,284,253,Airbus A320,Fuel exhaustion,"New York, USA",Windy,8894,319,38,Daylight,Back,Partial - High Monetary Damage
20/02/2020,Singapore Airlines,Minor,3,192,Boeing 777,Sabotage,"New York, USA",Snow,31057,339,36,Daylight,Front,Full Plane
15/12/2017,Emirates,Minor,6,113,Airbus A380,Runway excursion,"Paris, France",Rain,12220,252,33,Night,Back,Partial - Low Monetary Damage
28/09/2022,American Airlines,Minor,0,39,Boeing 747,Structural failure,"Dubai, UAE",Clear,35639,155,32,Night,Back,Partial - High Monetary Damage
12/06/2012,American Airlines,Severe,284,221,Boeing 777,Severe turbulence,"New York, USA",Snow,7055,401,10,Daylight,Back,Full Plane
18/06/2025,Qatar Airways,Minor,5,47,Embraer 190,Runway excursion,"Paris, France",Thunderstorm,27245,413,30,Daylight,Back,Partial - High Monetary Damage
09/10/2018,Emirates,Minor,7,152,Embraer 190,Pilot error,"London, UK",Fog,29860,142,24,Night,Front,Partial - High Monetary Damage
11/09/2010,British Airways,Minor,4,189,Boeing 737,Fuel exhaustion,"Tokyo, Japan",Fog,13093,305,20,Daylight,Back,Partial - Low Monetary Damage
24/10/2015,Qatar Airways,Minor,3,181,Embraer 190,Bird strike,"Toronto, Canada",Windy,16216,118,18,Daylight,Back,Partial - High Monetary Damage
06/08/2015,Turkish Airlines,Severe,97,27,Boeing 737,Mid-air collision,"São Paulo, Brazil",Fog,28984,265,10,Night,Back,Partial - High Monetary Damage
24/08/2017,Lufthansa,Severe,76,105,Bombardier CRJ900,Fuel exhaustion,"Tokyo, Japan",Fog,16395,467,11,Night,Front,Partial - Low Monetary Damage
02/01/2023,Emirates,Minor,1,197,Boeing 777,Controlled flight into terrain,"Tokyo, Japan",Thunderstorm,25249,563,1,Daylight,Back,Partial - High Monetary Damage
18/08/2024,Singapore Airlines,Severe,80,173,Embraer 190,Pilot error,"Tokyo, Japan",Clear,6256,450,28,Daylight,Front,Partial - High Monetary Damage
24/07/2021,Air India,Severe,282,115,Airbus A320,Sabotage,"New York, USA",Windy,9201,485,5,Night,Front,Partial - High Monetary Damage
11/09/2014,Lufthansa,Severe,138,181,Bombardier CRJ900,Bird strike,"London, UK",Windy,5693,218,36,Daylight,Back,Partial - High Monetary Damage
17/09/2023,British Airways,Minor,4,144,Embraer 190,Landing gear malfunction,"London, UK",Rain,20805,411,24,Daylight,Back,Partial - Low Monetary Damage
26/07/2021,Singapore Airlines,Minor,9,81,Boeing 737,Runway excursion,"Beijing, China",Windy,31170,449,3,Daylight,Back,Full Plane
22/05/2017,British Airways,Minor,5,104,Bombardier CRJ900,Structural failure,"New York, USA",Snow,24546,110,27,Night,Front,Partial - High Monetary Damage
21/01/2024,British Airways,Minor,9,225,Boeing 777,Pilot error,"New York, USA",Thunderstorm,27733,298,39,Night,Back,Full Plane
13/04/2024,Lufthansa,Minor,10,81,Airbus A380,Pilot error,"Paris, France",Windy,10930,501,11,Night,Back,Partial - High Monetary Damage
09/12/2025,United,Severe,239,130,Boeing 747,Controlled flight into terrain,"Beijing, China",Snow,27879,566,39,Night,Back,Full Plane
25/09/2022,British Airways,Minor,10,223,Airbus A380,Controlled flight into terrain,"Toronto, Canada",Rain,16864,228,35,Night,Front,Partial - High Monetary Damage
20/03/2011,British Airways,Severe,215,217,Airbus A380,Controlled flight into terrain,"London, UK",Fog,6652,507,30,Daylight,Back,Partial - High Monetary Damage
13/05/2020,Lufthansa,Minor,9,231,Airbus A350,Structural failure,"Paris, France",Thunderstorm,11390,508,15,Night,Back,Full Plane
05/08/2023,Qatar Airways,Severe,83,196,Airbus A350,Engine failure during takeoff,"London, UK",Thunderstorm,27807,391,34,Daylight,Back,Partial - High Monetary Damage
16/10/2025,Delta,Minor,9,64,Airbus A380,Severe turbulence,"Toronto, Canada",Thunderstorm,1883,116,28,Night,Front,Partial - Low Monetary Damage
02/11/2022,British Airways,Minor,1,85,Boeing 777,Structural failure,"London, UK",Rain,33665,594,18,Daylight,Front,Partial - High Monetary Damage
17/08/2019,Lufthansa,Minor,10,209,Boeing 737,Mid-air collision,"Tokyo, Japan",Snow,16878,389,3,Daylight,Back,Full Plane
28/02/2018,Singapore Airlines,Minor,7,246,Boeing 747,Controlled flight into terrain,"Toronto, Canada",Fog,34453,468,4,Night,Back,Partial - High Monetary Damage
10/05/2021,Turkish Airlines,Severe,202,199,Boeing 737,Bird strike,"São Paulo, Brazil",Clear,7767,463,25,Night,Front,Partial - High Monetary Damage
18/01/2017,Qatar Airways,Minor,1,37,Airbus A350,Controlled flight into terrain,"Sydney, Australia",Thunderstorm,33499,484,31,Daylight,Front,Partial - High Monetary Damage
08/02/2020,Qatar Airways,Minor,9,252,Embraer 190,Controlled flight into terrain,"New York, USA",Fog,28971,349,9,Night,Back,Partial - Low Monetary Damage
19/05/2021,Singapore Airlines,Minor,6,155,Airbus A320,Engine failure during takeoff,"London, UK",Windy,25706,430,20,Night,Front,Partial - High Monetary Damage
01/01/2015,Qatar Airways,Minor,9,225,Boeing 777,Sabotage,"Sydney, Australia",Clear,10471,107,27,Daylight,Back,Full Plane
26/01/2025,British Airways,Minor,10,6,Embraer 190,Runway excursion,"Dubai, UAE",Thunderstorm,925,217,28,Night,Front,Partial - High Monetary Damage
22/02/2021,Lufthansa,Minor,0,142,Airbus A350,Landing gear malfunction,"Mumbai, India",Thunderstorm,38610,252,13,Daylight,Back,Partial - High Monetary Damage
26/05/2017,Delta,Minor,9,182,Boeing 737,Fuel exhaustion,"Tokyo, Japan",Fog,3880,166,38,Night,Front,Partial - High Monetary Damage
07/05/2019,United,Severe,271,171,Boeing 777,Sabotage,"New York, USA",Snow,27780,272,3,Night,Front,Full Plane
08/12/2024,United,Severe,67,85,Embraer 190,Bird strike,"São Paulo, Brazil",Fog,37422,516,16,Daylight,Back,Partial - High Monetary Damage
21/05/2022,Qatar Airways,Minor,3,73,Airbus A350,Mid-air collision,"Beijing, China",Windy,15338,438,11,Night,Back,Partial - Low Monetary Damage
14/08/2011,Delta,Minor,6,150,Boeing 777,Structural failure,"London, UK",Windy,5494,158,6,Daylight,Back,Partial - Low Monetary Damage
27/06/2018,American Airlines,Minor,4,87,Embraer 190,Structural failure,"Tokyo, Japan",Windy,39551,461,17,Daylight,Back,Partial - High Monetary Damage
12/09/2020,Turkish Airlines,Minor,1,22,Boeing 747,Structural failure,"Beijing, China",Clear,28277,592,16,Night,Front,Partial - Low Monetary Damage
21/10/2021,American Airlines,Minor,7,184,Airbus A320,Bird strike,"Toronto, Canada",Rain,15761,405,4,Daylight,Front,Partial - Low Monetary Damage
09/12/2016,Qatar Airways,Severe,214,218,Embraer 190,Lightning strike,"São Paulo, Brazil",Clear,1322,330,13,Daylight,Back,Partial - High Monetary Damage
22/11/2014,Turkish Airlines,Minor,6,133,Embraer 190,Landing gear malfunction,"Mumbai, India",Snow,15392,449,6,Night,Back,Full Plane
16/11/2016,American Airlines,Minor,5,75,Airbus A350,Landing gear malfunction,"Mumbai, India",Clear,39171,127,35,Night,Back,Partial - High Monetary Damage
10/03/2025,Lufthansa,Minor,9,187,Embraer 190,Controlled flight into terrain,"New York, USA",Thunderstorm,22021,163,13,Night,Back,Full Plane
16/11/2010,Air India,Minor,2,147,Airbus A320,Fuel exhaustion,"London, UK",Snow,4833,382,37,Night,Front,Partial - High Monetary Damage
18/12/2020,Emirates,Minor,0,230,Airbus A380,Landing gear malfunction,"London, UK",Snow,28562,135,16,Daylight,Back,Partial - High Monetary Damage
21/07/2025,United,Severe,282,272,Boeing 737,Mid-air collision,"Paris, France",Fog,32379,477,16,Daylight,Back,Full Plane
21/09/2014,Emirates,Minor,5,26,Bombardier CRJ900,Mid-air collision,"Toronto, Canada",Rain,3887,542,2,Night,Back,Full Plane
11/04/2011,Singapore Airlines,Severe,300,192,Embraer 190,Structural failure,"Mumbai, India",Fog,20366,291,6,Daylight,Front,Partial - High Monetary Damage
07/12/2019,Emirates,Minor,9,139,Airbus A320,Engine failure during takeoff,"Paris, France",Thunderstorm,21993,386,7,Daylight,Back,Partial - Low Monetary Damage
17/08/2024,United,Minor,4,117,Boeing 777,Severe turbulence,"Mumbai, India",Rain,2129,393,8,Night,Back,Partial - High Monetary Damage
10/01/2025,Delta,Minor,8,246,Airbus A380,Pilot error,"São Paulo, Brazil",Rain,21622,151,33,Night,Front,Full Plane
12/03/2012,Qatar Airways,Minor,10,42,Airbus A350,Engine failure during takeoff,"Dubai, UAE",Snow,38677,196,17,Daylight,Back,Full Plane
27/05/2025,Qatar Airways,Minor,3,203,Airbus A350,Controlled flight into terrain,"London, UK",Rain,35379,303,2,Daylight,Front,Partial - High Monetary Damage
14/06/2020,United,Severe,251,20,Airbus A320,Engine failure during takeoff,"New York, USA",Thunderstorm,9361,378,26,Night,Back,Partial - High Monetary Damage
11/06/2020,American Airlines,Minor,6,96,Boeing 747,Controlled flight into terrain,"Toronto, Canada",Snow,8194,172,23,Daylight,Back,Full Plane
13/09/2018,Emirates,Minor,0,148,Airbus A380,Sabotage,"Dubai, UAE",Snow,27444,396,17,Daylight,Front,Partial - High Monetary Damage
09/02/2012,Lufthansa,Minor,9,261,Boeing 747,Fuel exhaustion,"São Paulo, Brazil",Snow,28882,300,33,Night,Front,Full Plane
22/05/2025,Delta,Minor,0,248,Embraer 190,Bird strike,"São Paulo, Brazil",Clear,14913,337,35,Night,Back,Partial - High Monetary Damage
13/04/2024,United,Minor,1,113,Boeing 777,Structural failure,"Toronto, Canada",Thunderstorm,6550,588,21,Night,Front,Partial - High Monetary Damage
03/05/2014,Emirates,Severe,157,35,Airbus A380,Runway excursion,"São Paulo, Brazil",Fog,11353,105,22,Night,Front,Partial - Low Monetary Damage
04/02/2017,American Airlines,Minor,8,55,Boeing 747,Severe turbulence,"New York, USA",Fog,14110,336,34,Night,Back,Partial - Low Monetary Damage
30/09/2024,Lufthansa,Minor,0,219,Boeing 747,Engine failure during takeoff,"Toronto, Canada",Fog,18376,241,32,Daylight,Front,Full Plane
29/07/2010,Air India,Minor,1,23,Boeing 737,Fuel exhaustion,"Dubai, UAE",Thunderstorm,15017,189,21,Night,Front,Partial - Low Monetary Damage
25/05/2024,British Airways,Minor,1,62,Boeing 737,Fuel exhaustion,"Toronto, Canada",Windy,34800,160,24,Night,Back,Full Plane
19/01/2024,Qatar Airways,Severe,137,178,Boeing 777,Controlled flight into terrain,"Tokyo, Japan",Fog,36441,591,9,Daylight,Back,Full Plane
22/01/2010,American Airlines,Minor,10,194,Bombardier CRJ900,Runway excursion,"New York, USA",Fog,34772,270,19,Night,Front,Full Plane
12/01/2021,Air India,Severe,105,175,Airbus A380,Controlled flight into terrain,"Paris, France",Windy,2521,572,23,Night,Back,Partial - High Monetary Damage
23/05/2021,American Airlines,Minor,6,120,Boeing 737,Engine failure during takeoff,"Toronto, Canada",Thunderstorm,20222,226,10,Night,Back,Full Plane
28/12/2021,Emirates,Minor,0,289,Boeing 737,Engine failure during takeoff,"London, UK",Clear,32904,134,37,Daylight,Back,Partial - Low Monetary Damage
21/11/2014,Air India,Minor,9,189,Embraer 190,Engine failure during takeoff,"Sydney, Australia",Thunderstorm,22554,406,26,Daylight,Front,Full Plane
13/09/2018,Delta,Minor,6,94,Embraer 190,Bird strike,"London, UK",Snow,5927,227,7,Daylight,Back,Partial - High Monetary Damage
05/02/2023,United,Minor,4,47,Embraer 190,Structural failure,"Sydney, Australia",Snow,19120,426,22,Night,Front,Full Plane
07/07/2013,Emirates,Minor,3,49,Airbus A320,Controlled flight into terrain,"New York, USA",Snow,9978,561,5,Daylight,Back,Full Plane
02/05/2013,Qatar Airways,Minor,9,162,Boeing 737,Bird strike,"São Paulo, Brazil",Clear,3747,303,18,Night,Front,Partial - High Monetary Damage
12/04/2014,British Airways,Severe,126,143,Airbus A320,Sabotage,"São Paulo, Brazil",Fog,9519,473,13,Daylight,Back,Partial - Low Monetary Damage
05/06/2014,Delta,Minor,5,93,Embraer 190,Bird strike,"London, UK",Fog,24202,170,27,Night,Front,Partial - High Monetary Damage
17/12/2025,Singapore Airlines,Severe,211,130,Airbus A380,Severe turbulence,"Tokyo, Japan",Fog,39833,499,39,Night,Back,Partial - High Monetary Damage
28/03/2021,American Airlines,Minor,3,2,Airbus A320,Pilot error,"Toronto, Canada",Thunderstorm,15878,547,30,Daylight,Front,Full Plane
19/03/2017,United,Minor,10,47,Airbus A320,Bird strike,"Dubai, UAE",Windy,26262,274,17,Daylight,Front,Full Plane
03/05/2016,Lufthansa,Minor,4,177,Airbus A380,Fuel exhaustion,"Dubai, UAE",Snow,19515,587,23,Night,Back,Full Plane
22/04/2010,Qatar Airways,Minor,9,11,Airbus A350,Structural failure,"Paris, France",Clear,24003,187,30,Daylight,Back,Full Plane
20/04/2015,British Airways,Minor,7,133,Boeing 737,Controlled flight into terrain,"Tokyo, Japan",Clear,3027,305,34,Daylight,Front,Full Plane
30/03/2014,Emirates,Severe,103,109,Boeing 737,Mid-air collision,"Tokyo, Japan",Windy,9486,507,14,Night,Back,Partial - Low Monetary Damage
03/03/2019,Delta,Severe,82,238,Airbus A320,Severe turbulence,"Sydney, Australia",Thunderstorm,36239,101,21,Daylight,Front,Partial - High Monetary Damage
17/01/2023,Lufthansa,Severe,65,31,Embraer 190,Landing gear malfunction,"Beijing, China",Rain,11514,171,5,Night,Front,Partial - Low Monetary Damage
09/03/2023,British Airways,Severe,50,268,Boeing 737,Engine failure during takeoff,"Toronto, Canada",Rain,15567,189,29,Daylight,Back,Full Plane
20/07/2023,American Airlines,Minor,9,212,Boeing 747,Lightning strike,"Toronto, Canada",Windy,7016,157,37,Daylight,Front,Full Plane
17/08/2017,Lufthansa,Minor,6,280,Airbus A320,Pilot error,"London, UK",Snow,16142,316,35,Daylight,Back,Partial - Low Monetary Damage
30/11/2012,Emirates,Minor,0,13,Boeing 747,Mid-air collision,"São Paulo, Brazil",Windy,16734,392,13,Daylight,Front,Full Plane
08/06/2022,Lufthansa,Minor,1,271,Airbus A320,Lightning strike,"Paris, France",Windy,8684,476,33,Daylight,Back,Full Plane
21/06/2017,American Airlines,Severe,145,262,Airbus A350,Sabotage,"Toronto, Canada",Thunderstorm,30892,575,30,Night,Back,Partial - High Monetary Damage
19/04/2025,Delta,Minor,3,123,Boeing 737,Severe turbulence,"Mumbai, India",Clear,23711,487,6,Night,Back,Partial - Low Monetary Damage
21/12/2010,Singapore Airlines,Severe,135,173,Bombardier CRJ900,Mid-air collision,"Paris, France",Windy,24319,112,16,Night,Front,Partial - High Monetary Damage
15/03/2014,Lufthansa,Minor,3,269,Embraer 190,Landing gear malfunction,"New York, USA",Snow,28938,381,22,Night,Front,Full Plane
11/01/2015,American Airlines,Minor,10,189,Boeing 777,Runway excursion,"Toronto, Canada",Rain,24811,462,23,Night,Back,Partial - High Monetary Damage
14/12/2011,British Airways,Minor,0,180,Airbus A380,Controlled flight into terrain,"Sydney, Australia",Thunderstorm,30576,361,26,Night,Back,Full Plane
06/02/2013,Qatar Airways,Minor,5,257,Bombardier CRJ900,Sabotage,"São Paulo, Brazil",Thunderstorm,12111,333,28,Night,Back,Full Plane
30/04/2025,Air India,Minor,3,114,Embraer 190,Severe turbulence,"London, UK",Snow,39739,287,40,Daylight,Front,Full Plane
22/10/2018,United,Minor,2,218,Boeing 777,Structural failure,"New York, USA",Rain,39952,505,28,Night,Front,Partial - High Monetary Damage
24/01/2017,Emirates,Severe,253,133,Boeing 737,Bird strike,"Dubai, UAE",Windy,4189,241,16,Daylight,Back,Full Plane
22/05/2014,Singapore Airlines,Severe,247,164,Airbus A350,Engine failure during takeoff,"Beijing, China",Rain,7222,363,14,Daylight,Back,Full Plane
23/07/2013,Singapore Airlines,Minor,5,134,Airbus A380,Mid-air collision,"São Paulo, Brazil",Clear,21707,105,35,Night,Front,Full Plane
14/04/2020,Delta,Severe,297,287,Boeing 747,Severe turbulence,"New York, USA",Windy,19189,172,37,Daylight,Back,Full Plane
03/05/2015,Qatar Airways,Severe,160,229,Boeing 747,Mid-air collision,"São Paulo, Brazil",Thunderstorm,38697,542,23,Daylight,Front,Partial - Low Monetary Damage
12/01/2017,American Airlines,Severe,240,191,Boeing 737,Landing gear malfunction,"Mumbai, India",Thunderstorm,1591,531,35,Night,Back,Partial - High Monetary Damage
29/07/2025,Qatar Airways,Minor,2,229,Bombardier CRJ900,Lightning strike,"Mumbai, India",Thunderstorm,18693,575,28,Night,Front,Partial - High Monetary Damage
18/01/2025,Lufthansa,Minor,4,294,Bombardier CRJ900,Fuel exhaustion,"Toronto, Canada",Rain,16958,408,17,Daylight,Front,Full Plane
11/12/2025,Air India,Minor,10,289,Bombardier CRJ900,Fuel exhaustion,"São Paulo, Brazil",Rain,12719,218,5,Night,Back,Partial - High Monetary Damage
